"x","y"
-2,-0.549999999999999
-2,-0.549999999999999
-1.95,-0.549999999999999
-1.9,-0.549999999999999
-1.85,-0.549999999999999
-1.8,-0.549999999999999
-1.75,-0.549999999999999
-1.7,-0.549999999999999
-1.65,-0.549999999999999
-1.6,-0.549999999999999
-1.55,-0.549999999999999
-1.5,-0.549999999999999
-1.45,-0.549999999999999
-1.4,-0.549999999999999
-1.35,-0.549999999999999
-1.35,-0.6
-1.3,-0.6
-1.25,-0.6
-1.2,-0.6
-1.15,-0.6
-1.1,-0.6
-1.05,-0.6
-1.05,-0.65
-1,-0.65
-0.949999999999999,-0.65
-0.949999999999999,-0.699999999999999
-0.9,-0.699999999999999
-0.85,-0.699999999999999
-0.85,-0.75
-0.799999999999999,-0.75
-0.799999999999999,-0.799999999999999
-0.75,-0.799999999999999
-0.75,-0.85
-0.699999999999999,-0.85
-0.699999999999999,-0.9
-0.699999999999999,-0.949999999999999
-0.699999999999999,-1
-0.699999999999999,-1.05
-0.65,-1.05
-0.65,-1.1
-0.65,-1.15
-0.65,-1.2
-0.65,-1.25
-0.65,-1.3
-0.65,-1.35
-0.65,-1.4
-0.6,-1.4
-0.6,-1.45
-0.6,-1.5
-0.6,-1.55
-0.6,-1.6
-0.549999999999999,-1.6
-0.549999999999999,-1.65
-0.5,-1.65
-0.5,-1.7
-0.449999999999999,-1.7
-0.449999999999999,-1.75
-0.399999999999999,-1.75
-0.35,-1.75
-0.299999999999999,-1.75
-0.299999999999999,-1.8
-0.25,-1.8
-0.199999999999999,-1.8
-0.199999999999999,-1.85
-0.149999999999999,-1.85
-0.1,-1.85
-0.1,-1.9
-0.049999999999999,-1.9
0,-1.9
0.050000000000001,-1.9
0.100000000000001,-1.9
0.15,-1.9
0.15,-1.85
0.200000000000001,-1.85
0.25,-1.85
0.25,-1.8
0.300000000000001,-1.8
0.350000000000001,-1.8
0.350000000000001,-1.75
0.350000000000001,-1.7
0.4,-1.7
0.4,-1.65
0.4,-1.6
0.450000000000001,-1.6
0.450000000000001,-1.55
0.450000000000001,-1.5
0.5,-1.5
0.5,-1.45
0.5,-1.4
0.5,-1.35
0.550000000000001,-1.35
0.550000000000001,-1.3
0.550000000000001,-1.25
0.550000000000001,-1.2
0.550000000000001,-1.15
0.550000000000001,-1.1
0.550000000000001,-1.05
0.600000000000001,-1.05
0.600000000000001,-1
0.600000000000001,-0.949999999999999
0.65,-0.949999999999999
0.65,-0.9
0.700000000000001,-0.9
0.700000000000001,-0.85
0.75,-0.85
0.800000000000001,-0.85
0.800000000000001,-0.799999999999999
0.850000000000001,-0.799999999999999
0.850000000000001,-0.75
0.9,-0.75
0.950000000000001,-0.75
0.950000000000001,-0.699999999999999
1,-0.699999999999999
1.05,-0.699999999999999
1.1,-0.699999999999999
1.15,-0.699999999999999
1.15,-0.65
1.2,-0.65
1.25,-0.65
1.3,-0.65
1.3,-0.6
1.35,-0.6
1.4,-0.6
1.45,-0.6
1.5,-0.6
1.5,-0.549999999999999
1.55,-0.549999999999999
1.6,-0.549999999999999
1.6,-0.5
1.65,-0.5
1.65,-0.449999999999999
1.7,-0.449999999999999
1.7,-0.399999999999999
1.75,-0.399999999999999
1.75,-0.35
1.75,-0.299999999999999
1.75,-0.25
1.75,-0.199999999999999
1.75,-0.149999999999999
1.75,-0.1
1.75,-0.049999999999999
1.8,-0.049999999999999
1.8,0
1.8,0.050000000000001
1.8,0.100000000000001
1.8,0.15
1.8,0.200000000000001
1.8,0.25
1.75,0.25
1.75,0.300000000000001
1.75,0.350000000000001
1.75,0.4
1.75,0.450000000000001
1.75,0.5
1.75,0.550000000000001
1.75,0.600000000000001
1.75,0.65
1.75,0.700000000000001
1.75,0.75
1.8,0.75
1.8,0.800000000000001
1.8,0.800000000000001
1.65,0.850000000000001
1.65,0.850000000000001
1.6,0.850000000000001
1.55,0.850000000000001
1.55,0.800000000000001
1.5,0.800000000000001
1.45,0.800000000000001
1.45,0.75
1.4,0.75
1.4,0.700000000000001
1.4,0.65
1.35,0.65
1.35,0.600000000000001
1.3,0.600000000000001
1.25,0.600000000000001
1.25,0.550000000000001
1.2,0.550000000000001
1.15,0.550000000000001
1.15,0.5
1.1,0.5
1.05,0.5
1,0.5
0.950000000000001,0.5
0.9,0.5
0.9,0.450000000000001
0.850000000000001,0.450000000000001
0.800000000000001,0.450000000000001
0.75,0.450000000000001
0.700000000000001,0.450000000000001
0.700000000000001,0.4
0.65,0.4
0.600000000000001,0.4
0.600000000000001,0.350000000000001
0.600000000000001,0.300000000000001
0.600000000000001,0.25
0.600000000000001,0.200000000000001
0.600000000000001,0.15
0.600000000000001,0.100000000000001
0.600000000000001,0.050000000000001
0.600000000000001,0
0.600000000000001,-0.049999999999999
0.600000000000001,-0.1
0.550000000000001,-0.1
0.550000000000001,-0.149999999999999
0.550000000000001,-0.199999999999999
0.550000000000001,-0.25
0.550000000000001,-0.299999999999999
0.550000000000001,-0.35
0.550000000000001,-0.399999999999999
0.550000000000001,-0.449999999999999
0.550000000000001,-0.5
0.550000000000001,-0.549999999999999
0.550000000000001,-0.6
0.550000000000001,-0.65
0.550000000000001,-0.699999999999999
0.550000000000001,-0.75
0.550000000000001,-0.799999999999999
0.550000000000001,-0.85
0.550000000000001,-0.9
0.550000000000001,-0.949999999999999
0.550000000000001,-1
0.550000000000001,-1.05
0.550000000000001,-1.1
0.550000000000001,-1.15
0.550000000000001,-1.2
0.550000000000001,-1.25
0.550000000000001,-1.3
0.550000000000001,-1.35
0.550000000000001,-1.4
0.600000000000001,-1.4
