x,y
4.300000000000001,-3.9499999999999993
4.300000000000001,-3.9499999999999993
4.35,-3.9499999999999993
4.35,-3.8999999999999995
4.4,-3.8999999999999995
4.450000000000001,-3.8499999999999996
4.450000000000001,-3.7999999999999994
4.5,-3.7999999999999994
4.5,-3.7499999999999996
4.5,-3.6999999999999993
4.550000000000001,-3.6999999999999993
4.550000000000001,-3.6499999999999995
4.6,-3.5999999999999996
4.6,-3.5499999999999994
4.6,-3.4999999999999996
4.6,-3.4499999999999993
4.65,-3.4499999999999993
4.65,-3.3999999999999995
4.65,-3.3499999999999996
4.65,-3.2999999999999994
4.65,-3.2499999999999996
4.65,-3.1999999999999993
4.65,-3.1499999999999995
4.700000000000001,-3.1499999999999995
4.700000000000001,-3.0999999999999996
4.700000000000001,-3.05
4.700000000000001,-2.999999999999999
4.700000000000001,-2.9499999999999993
4.700000000000001,-2.8999999999999995
4.700000000000001,-2.8499999999999996
4.75,-2.8499999999999996
4.75,-2.8
4.75,-2.749999999999999
4.75,-2.6999999999999993
4.75,-2.6499999999999995
4.75,-2.5999999999999996
4.75,-2.55
4.75,-2.499999999999999
4.75,-2.4499999999999993
4.75,-2.3999999999999995
4.75,-2.3499999999999996
4.75,-2.299999999999999
4.75,-2.249999999999999
4.75,-2.1999999999999993
4.75,-2.1499999999999995
4.75,-2.0999999999999996
4.75,-2.049999999999999
4.75,-1.9999999999999991
4.700000000000001,-1.9999999999999991
4.700000000000001,-1.9499999999999993
4.700000000000001,-1.8999999999999995
4.700000000000001,-1.8499999999999996
4.700000000000001,-1.799999999999999
4.700000000000001,-1.7499999999999991
4.700000000000001,-1.6999999999999993
4.700000000000001,-1.6499999999999995
4.700000000000001,-1.5999999999999996
4.700000000000001,-1.549999999999999
4.700000000000001,-1.4999999999999991
4.700000000000001,-1.4499999999999993
4.700000000000001,-1.3999999999999995
4.700000000000001,-1.3499999999999996
4.700000000000001,-1.299999999999999
4.700000000000001,-1.2499999999999991
4.700000000000001,-1.1999999999999993
4.700000000000001,-1.1499999999999995
4.65,-1.0999999999999996
4.65,-1.049999999999999
4.65,-0.9999999999999991
4.65,-0.9499999999999993
4.65,-0.8999999999999995
4.65,-0.8499999999999996
4.65,-0.7999999999999989
4.65,-0.7499999999999991
4.6,-0.6999999999999993
4.6,-0.6499999999999995
4.6,-0.5999999999999996
4.6,-0.5499999999999989
4.6,-0.4999999999999991
4.6,-0.4499999999999993
4.6,-0.39999999999999947
4.550000000000001,-0.39999999999999947
4.550000000000001,-0.34999999999999964
4.550000000000001,-0.29999999999999893
4.550000000000001,-0.2499999999999991
4.550000000000001,-0.1999999999999993
4.550000000000001,-0.14999999999999947
4.550000000000001,-0.09999999999999964
4.5,-0.049999999999998934
4.5,8.881784197001252e-16
4.5,0.05000000000000071
4.5,0.10000000000000053
4.450000000000001,0.15000000000000036
4.450000000000001,0.20000000000000107
4.450000000000001,0.2500000000000009
4.450000000000001,0.3000000000000007
4.450000000000001,0.35000000000000053
4.4,0.40000000000000036
4.4,0.45000000000000107
4.4,0.5000000000000009
4.35,0.5000000000000009
4.35,0.5500000000000007
4.35,0.6000000000000005
4.35,0.6500000000000004
4.35,0.6500000000000004
